MsgID.STATE,1527096366.7015741,False,False
MsgID.GLOBAL_POSITION,1527096377.0873966,-122.3957461,37.7932812,-0.0690000
MsgID.LOCAL_VELOCITY,1527096377.0873966,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096377.0879028,-0.0348991,0.5163910,0.0696704
MsgID.LOCAL_VELOCITY,1527096377.0879028,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096377.3379562,-122.3957486,37.7932793,-0.0650000
MsgID.LOCAL_VELOCITY,1527096377.3379562,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096377.3387699,-0.2477966,0.2961128,0.0657368
MsgID.LOCAL_VELOCITY,1527096377.3387699,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096377.5864167,-122.3957478,37.7932796,-0.0490000
MsgID.LOCAL_VELOCITY,1527096377.5864167,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096377.5876184,-0.2074006,0.3615950,0.0497050
MsgID.LOCAL_VELOCITY,1527096377.5876184,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096377.7742062,False,False
MsgID.GLOBAL_HOME,1527096377.7764115,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096377.8397465,-122.3957481,37.7932798,-0.0240000
MsgID.LOCAL_VELOCITY,1527096377.8397465,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096377.8412206,-0.1898671,0.3362941,0.0246545
MsgID.LOCAL_VELOCITY,1527096377.8412206,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096378.0885091,-122.3957490,37.7932790,0.0040000
MsgID.LOCAL_VELOCITY,1527096378.0885091,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096378.0898085,-0.2793646,0.2606605,-0.0047638
MsgID.LOCAL_VELOCITY,1527096378.0898085,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096378.3377864,-122.3957466,37.7932802,0.0330000
MsgID.LOCAL_VELOCITY,1527096378.3377864,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096378.3382697,-0.1433205,0.4725982,-0.0335365
MsgID.LOCAL_VELOCITY,1527096378.3382697,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096378.5875361,-122.3957466,37.7932797,0.0570000
MsgID.LOCAL_VELOCITY,1527096378.5875361,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096378.5882146,-0.1955650,0.4669896,-0.0571060
MsgID.LOCAL_VELOCITY,1527096378.5882146,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096378.7750897,False,False
MsgID.GLOBAL_HOME,1527096378.7763953,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096378.8379374,-122.3957478,37.7932798,0.0720000
MsgID.LOCAL_VELOCITY,1527096378.8379374,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096378.8387029,-0.1869632,0.3684247,-0.0727584
MsgID.LOCAL_VELOCITY,1527096378.8387029,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096379.0870636,-122.3957491,37.7932801,0.0800000
MsgID.LOCAL_VELOCITY,1527096379.0870636,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096379.0881724,-0.1558545,0.2510472,-0.0803731
MsgID.LOCAL_VELOCITY,1527096379.0881724,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096379.3383489,-122.3957463,37.7932808,0.0820000
MsgID.LOCAL_VELOCITY,1527096379.3383489,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096379.3388815,-0.0797642,0.4995859,-0.0823942
MsgID.LOCAL_VELOCITY,1527096379.3388815,0.0000000,0.0000000,-0.0000000
